BATCH,VEHICLE,BANK,KM,YEAR,FUEL,COLOR,FIPE,YARD,RESUME-TYPE,TYPE,HAS-KEY
31,volkswagen/novo gol trendline mcv (4p),BANCO VOLKSWAGEN S/A,181.079,16/17,Flex,BRANCA,"R$ 44.610,00",PATIO FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
32,volkswagen/spacecross gii,BANCO VOLKSWAGEN S/A,124.537,11/12,Flex,PRATA,"R$ 37.076,00",PATIO FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
33,volkswagen/novo voyage trendline mbv (4p),BANCO VOLKSWAGEN S/A,241.146,18/18,Flex,PRATA,"R$ 51.485,00",PATIO FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
34,volkswagen/gol mc4 (4p),BANCO VOLKSWAGEN S/A,30.498,19/20,Flex,VERMELHA,"R$ 51.823,00",PATIO FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
35,volkswagen/up move sa (2p/4p),BANCO VOLKSWAGEN S/A,213.740,16/17,Flex,BRANCA,"R$ 53.332,00",PATIO FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
36,ford/edge v6 fwd 4x2,BANCO VOLKSWAGEN S/A,108.367,11/12,Gasolina,PRETA,"R$ 62.153,00",PATIO SALVADOR-BA,Recuperado de Financiamento,Veículos,Sim
45,honda/nxr160 bros esdd,MARES MAPFRE RISCOS ESPECIAIS SEGURADORA S/A,55.123,15/16,Flex,PRETA,"R$ 14.603,00",PATIO FORTALEZA/CE,Recuperado de Financiamento,Motos,Sim
46,chevrolet/celta ls (2p/4p),MARES MAPFRE RISCOS ESPECIAIS SEGURADORA S/A,,12/13,Flex,PRETA,"R$ 28.505,00",PATIO SALVADOR-BA,Não informada,Veículos,Sim
50,chevrolet/spin ltz 1.8l automatico,ITAPEVA II MULTICARTEIRA,126.106,15/16,Flex,PRATA,"R$ 60.296,00",PATIO SALVADOR-BA,Recuperado de Financiamento,Veículos,Sim
51,peugeot/308 allure (4p),ITAPEVA II MULTICARTEIRA,,13/14,Flex,PRETA,"R$ 43.178,00",PATIO SALVADOR-BA,Recuperado de Financiamento,Veículos,Não
52,peugeot/207 xr (2p/4p),ITAPEVA II MULTICARTEIRA,142.787,12/12,Flex,PRETA,"R$ 23.701,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
53,chevrolet/spin 1.8l mt lt,ITAPEVA II MULTICARTEIRA,378.380,15/16,Flex,BRANCA,"R$ 49.708,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
54,ford/fiesta flex (4p),ITAPEVA II MULTICARTEIRA,137.247,13/14,Flex,PRATA,"R$ 30.356,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
55,fiat/strada working,ITAPEVA II MULTICARTEIRA,273.350,11/12,Flex,BRANCA,"R$ 46.500,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
56,renault/logan expression 1016v (4p),ITAPEVA II MULTICARTEIRA,174.451,07/08,Flex,BEGE,"R$ 16.983,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
60,peugeot/208 active pack (4p),BANCO PSA FINANCE BRASIL S/A,,17/18,Flex,BRANCA,"R$ 48.544,00",PATIO SALVADOR-BA,Recuperado de Financiamento,Veículos,Não
71,mercedes-benz/313 cdi sprinter m,BANCO PAN S/A,,05/06,Diesel,BRANCA,"R$ 55.483,00",PATIO SALVADOR-BA,Recuperado de Financiamento,Pesados,Não
80,fiat/strada working cabine dupla,COMITENTE PARTICULAR,,14/14,Flex,BRANCA,"R$ 56.384,00",PATIO SALVADOR-BA,Não informada,Veículos,Sim
84,honda/cg 125 cargo ks,NORSA REFRIGERANTES S/A,17.916,14/14,Gasolina,BRANCA,"R$ 8.715,00",PATIO FORTALEZA/CE,Frota,Motos,Não
85,honda/cg 125i cargo,NORSA REFRIGERANTES S/A,105.378,16/16,Gasolina,BRANCA,"R$ 9.746,00",PATIO FORTALEZA/CE,Frota,Motos,Não
86,honda/cg 125i cargo,NORSA REFRIGERANTES S/A,,16/16,Gasolina,BRANCA,"R$ 9.746,00",PATIO FORTALEZA/CE,Frota,Motos,Não
87,honda/cg 125i cargo,NORSA REFRIGERANTES S/A,,16/16,Gasolina,BRANCA,"R$ 9.746,00",PATIO FORTALEZA/CE,Não informada,Motos,Não
88,honda/cg 125i cargo,NORSA REFRIGERANTES S/A,,16/16,Gasolina,BRANCA,"R$ 9.746,00",PATIO FORTALEZA/CE,Frota,Motos,Não
89,honda/cg 125i cargo,NORSA REFRIGERANTES S/A,77.618,16/16,Gasolina,BRANCA,"R$ 9.746,00",PATIO FORTALEZA/CE,Frota,Motos,Não
90,honda/fit lx flex (4p),CREDITAS SOLUCOES FINANCEIRAS LTDA,187.418,07/08,Flex,PRATA,"R$ 28.489,00",PATIO FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
91,fiat/palio attractive 1.0 (2p/4p),CREDITAS SOLUCOES FINANCEIRAS LTDA,174.690,12/13,Flex,PRATA,"R$ 31.685,00",PATIO FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
92,volkswagen/gol 1.0 giv (2p/4p),CREDITAS SOLUCOES FINANCEIRAS LTDA,62.712,12/13,Flex,PRETA,"R$ 26.071,00",PATIO FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
93,ford/ka flex (2p/4p),CREDITAS SOLUCOES FINANCEIRAS LTDA,103.353,10/11,Flex,PRETA,"R$ 22.117,00",PATIO FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
94,chevrolet/corsa sedan maxx (4p),CREDITAS SOLUCOES FINANCEIRAS LTDA,221.125,06/06,Flex,PRATA,"R$ 19.228,00",PATIO FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
95,chevrolet/classic ls (2p/4p),CREDITAS SOLUCOES FINANCEIRAS LTDA,179.448,14/15,Flex,PRATA,"R$ 34.086,00",PATIO FORTALEZA/CE,Recuperado de Financiamento,Veículos,Sim
96,renault/megane sedan privilege (4p),CREDITAS SOLUCOES FINANCEIRAS LTDA,,08/09,Gasolina,PRETA,"R$ 26.539,00",PATIO SALVADOR-BA,Recuperado de Financiamento,Veículos,Sim
97,volkswagen/voyage comfortline (4p),CREDITAS SOLUCOES FINANCEIRAS LTDA,233.079,09/10,Flex,PRETA,"R$ 31.099,00",PATIO SALVADOR-BA,Recuperado de Financiamento,Veículos,Sim
98,chevrolet/prisma maxx (4p),CREDITAS SOLUCOES FINANCEIRAS LTDA,119.639,10/11,Flex,PRETA,"R$ 28.018,00",PATIO SALVADOR-BA,Recuperado de Financiamento,Veículos,Sim
99,renault/clio authentique (4p),CREDITAS SOLUCOES FINANCEIRAS LTDA,255.735,07/07,Flex,PRATA,"R$ 15.036,00",PATIO SALVADOR-BA,Recuperado de Financiamento,Veículos,Sim
100,citroen/picasso ii16glxf,CREDITAS SOLUCOES FINANCEIRAS LTDA,,09/10,Flex,PRATA,"R$ 21.039,00",PATIO SALVADOR-BA,Recuperado de Financiamento,Veículos,Sim
101,i/aima voltz ev01 sport,CREDITAS SOLUCOES FINANCEIRAS LTDA,,22/21,ELETRICO / FONTE EXT,BRANCA,"R$ 13.776,00",PATIO SALVADOR-BA,Recuperado de Financiamento,Motos,Sim
120,honda/cg 160 fan,BANCO SANTANDER S/A,11.884,22/22,Flex,VERMELHA,"R$ 15.772,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Motos,Sim
121,fiat/strada working,BANCO SANTANDER S/A,130.119,10/11,Flex,PRATA,"R$ 43.529,00",PATIO 2 - FORTALEZA/CE,Não informada,Veículos,Sim
122,kombi,BANCO SANTANDER S/A,,10/11,Flex,BRANCA,"R$ 35.552,00",PATIO 2 - FORTALEZA/CE,Recuperado de Financiamento,Utilitários,Sim
